nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:  52%|█████▏    | 2791/5338 [16:32<15:15,  2.78it/s, loss=-2.7996]
Train epoch 1:  52%|█████▏    | 2791/5338 [16:33<15:15,  2.78it/s, loss=-2.5938]
Train epoch 1:  52%|█████▏    | 2792/5338 [16:33<15:21,  2.76it/s, loss=-2.5938]
Train epoch 1:  52%|█████▏    | 2792/5338 [16:33<15:21,  2.76it/s, loss=-2.5451]
Train epoch 1:  52%|█████▏    | 2793/5338 [16:33<15:20,  2.76it/s, loss=-2.5451]
Train epoch 1:  52%|█████▏    | 2793/5338 [16:33<15:20,  2.76it/s, loss=-1.4536]
Train epoch 1:  52%|█████▏    | 2794/5338 [16:33<15:22,  2.76it/s, loss=-1.4536]
Train epoch 1:  52%|█████▏    | 2794/5338 [16:34<15:22,  2.76it/s, loss=-2.3122]
Train epoch 1:  52%|█████▏    | 2795/5338 [16:34<15:22,  2.76it/s, loss=-2.3122]
Train epoch 1:  52%|█████▏    | 2795/5338 [16:34<15:22,  2.76it/s, loss=-2.7290]
Train epoch 1:  52%|█████▏    | 2796/5338 [16:34<15:02,  2.82it/s, loss=-2.7290]
Train epoch 1:  52%|█████▏    | 2796/5338 [16:34<15:02,  2.82it/s, loss=-2.0223]
Train epoch 1:  52%|█████▏    | 2797/5338 [16:34<14:53,  2.84it/s, loss=-2.0223]
Train epoch 1:  52%|█████▏    | 2797/5338 [16:35<14:53,  2.84it/s, loss=-0.7185]
Train epoch 1:  52%|█████▏    | 2798/5338 [16:35<15:02,  2.81it/s, loss=-0.7185]
Train epoch 1:  52%|█████▏    | 2798/5338 [16:35<15:02,  2.81it/s, loss=-1.6602]
Train epoch 1:  52%|█████▏    | 2799/5338 [16:35<15:09,  2.79it/s, loss=-1.6602]
Train epoch 1:  52%|█████▏    | 2799/5338 [16:35<15:09,  2.79it/s, loss=-2.0368]
Train epoch 1:  52%|█████▏    | 2800/5338 [16:35<15:06,  2.80it/s, loss=-2.0368]
Train epoch 1:  52%|█████▏    | 2800/5338 [16:36<15:06,  2.80it/s, loss=-3.3863]
Train epoch 1:  52%|█████▏    | 2801/5338 [16:36<15:07,  2.79it/s, loss=-3.3863]
Train epoch 1:  52%|█████▏    | 2801/5338 [16:36<15:07,  2.79it/s, loss=-3.2681]
Train epoch 1:  52%|█████▏    | 2802/5338 [16:36<14:56,  2.83it/s, loss=-3.2681]
Train epoch 1:  52%|█████▏    | 2802/5338 [16:36<14:56,  2.83it/s, loss=-1.8771]
Train epoch 1:  53%|█████▎    | 2803/5338 [16:36<14:58,  2.82it/s, loss=-1.8771]
Train epoch 1:  53%|█████▎    | 2803/5338 [16:37<14:58,  2.82it/s, loss=-0.9576]
Train epoch 1:  53%|█████▎    | 2804/5338 [16:37<14:43,  2.87it/s, loss=-0.9576]
Train epoch 1:  53%|█████▎    | 2804/5338 [16:37<14:43,  2.87it/s, loss=-1.1754]
Train epoch 1:  53%|█████▎    | 2805/5338 [16:37<15:01,  2.81it/s, loss=-1.1754]
Train epoch 1:  53%|█████▎    | 2805/5338 [16:38<15:01,  2.81it/s, loss=-1.5776]
Train epoch 1:  53%|█████▎    | 2806/5338 [16:38<15:04,  2.80it/s, loss=-1.5776]
Train epoch 1:  53%|█████▎    | 2806/5338 [16:38<15:04,  2.80it/s, loss=-2.2061]
Train epoch 1:  53%|█████▎    | 2807/5338 [16:38<15:03,  2.80it/s, loss=-2.2061]
Train epoch 1:  53%|█████▎    | 2807/5338 [16:38<15:03,  2.80it/s, loss=-2.0227]
Train epoch 1:  53%|█████▎    | 2808/5338 [16:38<15:01,  2.81it/s, loss=-2.0227]
Train epoch 1:  53%|█████▎    | 2808/5338 [16:39<15:01,  2.81it/s, loss=-1.7588]
Train epoch 1:  53%|█████▎    | 2809/5338 [16:39<14:50,  2.84it/s, loss=-1.7588]
Train epoch 1:  53%|█████▎    | 2809/5338 [16:39<14:50,  2.84it/s, loss=-1.9927]
Train epoch 1:  53%|█████▎    | 2810/5338 [16:39<14:59,  2.81it/s, loss=-1.9927]
Train epoch 1:  53%|█████▎    | 2810/5338 [16:39<14:59,  2.81it/s, loss=-1.8915]
Train epoch 1:  53%|█████▎    | 2811/5338 [16:39<14:45,  2.86it/s, loss=-1.8915]
Train epoch 1:  53%|█████▎    | 2811/5338 [16:40<14:45,  2.86it/s, loss=-1.9877]
Train epoch 1:  53%|█████▎    | 2812/5338 [16:40<14:52,  2.83it/s, loss=-1.9877]
Train epoch 1:  53%|█████▎    | 2812/5338 [16:40<14:52,  2.83it/s, loss=-2.5888]
Train epoch 1:  53%|█████▎    | 2813/5338 [16:40<14:59,  2.81it/s, loss=-2.5888]
Train epoch 1:  53%|█████▎    | 2813/5338 [16:40<14:59,  2.81it/s, loss=-2.7450]
Train epoch 1:  53%|█████▎    | 2814/5338 [16:40<15:04,  2.79it/s, loss=-2.7450]
Train epoch 1:  53%|█████▎    | 2814/5338 [16:41<15:04,  2.79it/s, loss=-1.7149]
Train epoch 1:  53%|█████▎    | 2815/5338 [16:41<15:09,  2.77it/s, loss=-1.7149]
Train epoch 1:  53%|█████▎    | 2815/5338 [16:41<15:09,  2.77it/s, loss=-1.1015]
Train epoch 1:  53%|█████▎    | 2816/5338 [16:41<14:51,  2.83it/s, loss=-1.1015]
Train epoch 1:  53%|█████▎    | 2816/5338 [16:41<14:51,  2.83it/s, loss=-3.2275]
Train epoch 1:  53%|█████▎    | 2817/5338 [16:41<14:39,  2.87it/s, loss=-3.2275]
Train epoch 1:  53%|█████▎    | 2817/5338 [16:42<14:39,  2.87it/s, loss=-0.8182]
Train epoch 1:  53%|█████▎    | 2818/5338 [16:42<14:43,  2.85it/s, loss=-0.8182]
Train epoch 1:  53%|█████▎    | 2818/5338 [16:42<14:43,  2.85it/s, loss=-2.5058]
Train epoch 1:  53%|█████▎    | 2819/5338 [16:42<14:51,  2.82it/s, loss=-2.5058]
Train epoch 1:  53%|█████▎    | 2819/5338 [16:43<14:51,  2.82it/s, loss=-1.3399]
Train epoch 1:  53%|█████▎    | 2820/5338 [16:43<14:56,  2.81it/s, loss=-1.3399]
Train epoch 1:  53%|█████▎    | 2820/5338 [16:43<14:56,  2.81it/s, loss=-2.3638]
Train epoch 1:  53%|█████▎    | 2821/5338 [16:43<14:59,  2.80it/s, loss=-2.3638]
Train epoch 1:  53%|█████▎    | 2821/5338 [16:43<14:59,  2.80it/s, loss=-1.4562]
Train epoch 1:  53%|█████▎    | 2822/5338 [16:43<14:59,  2.80it/s, loss=-1.4562]
Train epoch 1:  53%|█████▎    | 2822/5338 [16:44<14:59,  2.80it/s, loss=-2.3175]
Train epoch 1:  53%|█████▎    | 2823/5338 [16:44<15:03,  2.78it/s, loss=-2.3175]
Train epoch 1:  53%|█████▎    | 2823/5338 [16:44<15:03,  2.78it/s, loss=-2.1173]
Train epoch 1:  53%|█████▎    | 2824/5338 [16:44<14:54,  2.81it/s, loss=-2.1173]
Train epoch 1:  53%|█████▎    | 2824/5338 [16:44<14:54,  2.81it/s, loss=-2.0381]
Train epoch 1:  53%|█████▎    | 2825/5338 [16:44<14:42,  2.85it/s, loss=-2.0381]
Train epoch 1:  53%|█████▎    | 2825/5338 [16:45<14:42,  2.85it/s, loss=-1.7925]
Train epoch 1:  53%|█████▎    | 2826/5338 [16:45<14:48,  2.83it/s, loss=-1.7925]
Train epoch 1:  53%|█████▎    | 2826/5338 [16:45<14:48,  2.83it/s, loss=-2.2096]
Train epoch 1:  53%|█████▎    | 2827/5338 [16:45<14:55,  2.81it/s, loss=-2.2096]
Train epoch 1:  53%|█████▎    | 2827/5338 [16:45<14:55,  2.81it/s, loss=-2.2907]
Train epoch 1:  53%|█████▎    | 2828/5338 [16:45<14:43,  2.84it/s, loss=-2.2907]
Train epoch 1:  53%|█████▎    | 2828/5338 [16:46<14:43,  2.84it/s, loss=-4.2183]
Train epoch 1:  53%|█████▎    | 2829/5338 [16:46<14:35,  2.87it/s, loss=-4.2183]
Train epoch 1:  53%|█████▎    | 2829/5338 [16:46<14:35,  2.87it/s, loss=-2.0312]
Train epoch 1:  53%|█████▎    | 2830/5338 [16:46<14:46,  2.83it/s, loss=-2.0312]
Train epoch 1:  53%|█████▎    | 2830/5338 [16:46<14:46,  2.83it/s, loss=-2.5690]
Train epoch 1:  53%|█████▎    | 2831/5338 [16:46<14:51,  2.81it/s, loss=-2.5690]
Train epoch 1:  53%|█████▎    | 2831/5338 [16:47<14:51,  2.81it/s, loss=-3.1995]
Train epoch 1:  53%|█████▎    | 2832/5338 [16:47<14:56,  2.80it/s, loss=-3.1995]
Train epoch 1:  53%|█████▎    | 2832/5338 [16:47<14:56,  2.80it/s, loss=-1.6995]
Train epoch 1:  53%|█████▎    | 2833/5338 [16:47<15:00,  2.78it/s, loss=-1.6995]
Train epoch 1:  53%|█████▎    | 2833/5338 [16:48<15:00,  2.78it/s, loss=-1.3667]
Train epoch 1:  53%|█████▎    | 2834/5338 [16:48<15:03,  2.77it/s, loss=-1.3667]
Train epoch 1:  53%|█████▎    | 2834/5338 [16:48<15:03,  2.77it/s, loss=-1.4046]
Train epoch 1:  53%|█████▎    | 2835/5338 [16:48<15:08,  2.76it/s, loss=-1.4046]
Train epoch 1:  53%|█████▎    | 2835/5338 [16:48<15:08,  2.76it/s, loss=-3.0175]
Train epoch 1:  53%|█████▎    | 2836/5338 [16:48<15:00,  2.78it/s, loss=-3.0175]
Train epoch 1:  53%|█████▎    | 2836/5338 [16:49<15:00,  2.78it/s, loss=-2.9369]
Train epoch 1:  53%|█████▎    | 2837/5338 [16:49<14:57,  2.79it/s, loss=-2.9369]
Train epoch 1:  53%|█████▎    | 2837/5338 [16:49<14:57,  2.79it/s, loss=-2.0904]
Train epoch 1:  53%|█████▎    | 2838/5338 [16:49<14:44,  2.83it/s, loss=-2.0904]
Train epoch 1:  53%|█████▎    | 2838/5338 [16:49<14:44,  2.83it/s, loss=-1.7151]
Train epoch 1:  53%|█████▎    | 2839/5338 [16:49<14:54,  2.79it/s, loss=-1.7151]
Train epoch 1:  53%|█████▎    | 2839/5338 [16:50<14:54,  2.79it/s, loss=-1.6777]
Train epoch 1:  53%|█████▎    | 2840/5338 [16:50<15:13,  2.73it/s, loss=-1.6777]
Train epoch 1:  53%|█████▎    | 2840/5338 [16:50<15:13,  2.73it/s, loss=-2.4744]
Train epoch 1:  53%|█████▎    | 2841/5338 [16:50<15:11,  2.74it/s, loss=-2.4744]
Train epoch 1:  53%|█████▎    | 2841/5338 [16:50<15:11,  2.74it/s, loss=-3.3370]
Train epoch 1:  53%|█████▎    | 2842/5338 [16:50<14:51,  2.80it/s, loss=-3.3370]
Train epoch 1:  53%|█████▎    | 2842/5338 [16:51<14:51,  2.80it/s, loss=-2.4003]
Train epoch 1:  53%|█████▎    | 2843/5338 [16:51<14:28,  2.87it/s, loss=-2.4003]
Train epoch 1:  53%|█████▎    | 2843/5338 [16:51<14:28,  2.87it/s, loss=-1.5565]
Train epoch 1:  53%|█████▎    | 2844/5338 [16:51<14:37,  2.84it/s, loss=-1.5565]
Train epoch 1:  53%|█████▎    | 2844/5338 [16:51<14:37,  2.84it/s, loss=-1.1777]
Train epoch 1:  53%|█████▎    | 2845/5338 [16:51<14:26,  2.88it/s, loss=-1.1777]
Train epoch 1:  53%|█████▎    | 2845/5338 [16:52<14:26,  2.88it/s, loss=-2.4755]
Train epoch 1:  53%|█████▎    | 2846/5338 [16:52<14:38,  2.84it/s, loss=-2.4755]
Train epoch 1:  53%|█████▎    | 2846/5338 [16:52<14:38,  2.84it/s, loss=-3.8827]
Train epoch 1:  53%|█████▎    | 2847/5338 [16:52<14:46,  2.81it/s, loss=-3.8827]
Train epoch 1:  53%|█████▎    | 2847/5338 [16:52<14:46,  2.81it/s, loss=-2.1875]
Train epoch 1:  53%|█████▎    | 2848/5338 [16:52<14:44,  2.82it/s, loss=-2.1875]
Train epoch 1:  53%|█████▎    | 2848/5338 [16:53<14:44,  2.82it/s, loss=-2.6422]
Train epoch 1:  53%|█████▎    | 2849/5338 [16:53<14:49,  2.80it/s, loss=-2.6422]
Train epoch 1:  53%|█████▎    | 2849/5338 [16:53<14:49,  2.80it/s, loss=-2.0007]
Train epoch 1:  53%|█████▎    | 2850/5338 [16:53<14:28,  2.87it/s, loss=-2.0007]
Train epoch 1:  53%|█████▎    | 2850/5338 [16:54<14:28,  2.87it/s, loss=-2.3815]
Train epoch 1:  53%|█████▎    | 2851/5338 [16:54<14:34,  2.84it/s, loss=-2.3815]
Train epoch 1:  53%|█████▎    | 2851/5338 [16:54<14:34,  2.84it/s, loss=-2.0884]
Train epoch 1:  53%|█████▎    | 2852/5338 [16:54<14:30,  2.85it/s, loss=-2.0884]
Train epoch 1:  53%|█████▎    | 2852/5338 [16:54<14:30,  2.85it/s, loss=-1.5860]
Train epoch 1:  53%|█████▎    | 2853/5338 [16:54<14:36,  2.84it/s, loss=-1.5860]
Train epoch 1:  53%|█████▎    | 2853/5338 [16:55<14:36,  2.84it/s, loss=-3.2918]
Train epoch 1:  53%|█████▎    | 2854/5338 [16:55<14:38,  2.83it/s, loss=-3.2918]
Train epoch 1:  53%|█████▎    | 2854/5338 [16:55<14:38,  2.83it/s, loss=-3.4379]
Train epoch 1:  53%|█████▎    | 2855/5338 [16:55<14:33,  2.84it/s, loss=-3.4379]
Train epoch 1:  53%|█████▎    | 2855/5338 [16:55<14:33,  2.84it/s, loss=-2.2800]
Train epoch 1:  54%|█████▎    | 2856/5338 [16:55<14:29,  2.86it/s, loss=-2.2800]
Train epoch 1:  54%|█████▎    | 2856/5338 [16:56<14:29,  2.86it/s, loss=-2.7616]
Train epoch 1:  54%|█████▎    | 2857/5338 [16:56<14:37,  2.83it/s, loss=-2.7616]
Train epoch 1:  54%|█████▎    | 2857/5338 [16:56<14:37,  2.83it/s, loss=-2.1539]
Train epoch 1:  54%|█████▎    | 2858/5338 [16:56<14:46,  2.80it/s, loss=-2.1539]
Train epoch 1:  54%|█████▎    | 2858/5338 [16:56<14:46,  2.80it/s, loss=-0.9860]
Train epoch 1:  54%|█████▎    | 2859/5338 [16:56<14:44,  2.80it/s, loss=-0.9860]
Train epoch 1:  54%|█████▎    | 2859/5338 [16:57<14:44,  2.80it/s, loss=-1.9566]
Train epoch 1:  54%|█████▎    | 2860/5338 [16:57<14:36,  2.83it/s, loss=-1.9566]
Train epoch 1:  54%|█████▎    | 2860/5338 [16:57<14:36,  2.83it/s, loss=-1.4338]
Train epoch 1:  54%|█████▎    | 2861/5338 [16:57<14:19,  2.88it/s, loss=-1.4338]
Train epoch 1:  54%|█████▎    | 2861/5338 [16:57<14:19,  2.88it/s, loss=-2.5957]
Train epoch 1:  54%|█████▎    | 2862/5338 [16:57<14:28,  2.85it/s, loss=-2.5957]
Train epoch 1:  54%|█████▎    | 2862/5338 [16:58<14:28,  2.85it/s, loss=-2.6117]
Train epoch 1:  54%|█████▎    | 2863/5338 [16:58<14:34,  2.83it/s, loss=-2.6117]
Train epoch 1:  54%|█████▎    | 2863/5338 [16:58<14:34,  2.83it/s, loss=-2.1650]
Train epoch 1:  54%|█████▎    | 2864/5338 [16:58<14:28,  2.85it/s, loss=-2.1650]
Train epoch 1:  54%|█████▎    | 2864/5338 [16:58<14:28,  2.85it/s, loss=-1.4648]
Train epoch 1:  54%|█████▎    | 2865/5338 [16:58<14:11,  2.91it/s, loss=-1.4648]
Train epoch 1:  54%|█████▎    | 2865/5338 [16:59<14:11,  2.91it/s, loss=-3.3414]
Train epoch 1:  54%|█████▎    | 2866/5338 [16:59<14:17,  2.88it/s, loss=-3.3414]
Train epoch 1:  54%|█████▎    | 2866/5338 [16:59<14:17,  2.88it/s, loss=-2.7931]
Train epoch 1:  54%|█████▎    | 2867/5338 [16:59<14:28,  2.85it/s, loss=-2.7931]
Train epoch 1:  54%|█████▎    | 2867/5338 [17:00<14:28,  2.85it/s, loss=-2.4543]
Train epoch 1:  54%|█████▎    | 2868/5338 [17:00<14:28,  2.84it/s, loss=-2.4543]
Train epoch 1:  54%|█████▎    | 2868/5338 [17:00<14:28,  2.84it/s, loss=-2.1176]
Train epoch 1:  54%|█████▎    | 2869/5338 [17:00<14:35,  2.82it/s, loss=-2.1176]
Train epoch 1:  54%|█████▎    | 2869/5338 [17:00<14:35,  2.82it/s, loss=-1.6288]
Train epoch 1:  54%|█████▍    | 2870/5338 [17:00<14:36,  2.81it/s, loss=-1.6288]
Train epoch 1:  54%|█████▍    | 2870/5338 [17:01<14:36,  2.81it/s, loss=-2.2058]
Train epoch 1:  54%|█████▍    | 2871/5338 [17:01<14:44,  2.79it/s, loss=-2.2058]
Train epoch 1:  54%|█████▍    | 2871/5338 [17:01<14:44,  2.79it/s, loss=-1.4003]
Train epoch 1:  54%|█████▍    | 2872/5338 [17:01<14:29,  2.83it/s, loss=-1.4003]
Train epoch 1:  54%|█████▍    | 2872/5338 [17:01<14:29,  2.83it/s, loss=-2.8279]
Train epoch 1:  54%|█████▍    | 2873/5338 [17:01<14:28,  2.84it/s, loss=-2.8279]
Train epoch 1:  54%|█████▍    | 2873/5338 [17:02<14:28,  2.84it/s, loss=-1.7179]
Train epoch 1:  54%|█████▍    | 2874/5338 [17:02<14:26,  2.84it/s, loss=-1.7179]
Train epoch 1:  54%|█████▍    | 2874/5338 [17:02<14:26,  2.84it/s, loss=-2.5624]
Train epoch 1:  54%|█████▍    | 2875/5338 [17:02<14:24,  2.85it/s, loss=-2.5624]
Train epoch 1:  54%|█████▍    | 2875/5338 [17:02<14:24,  2.85it/s, loss=-1.1836]
Train epoch 1:  54%|█████▍    | 2876/5338 [17:02<14:16,  2.87it/s, loss=-1.1836]
Train epoch 1:  54%|█████▍    | 2876/5338 [17:03<14:16,  2.87it/s, loss=-2.0114]
Train epoch 1:  54%|█████▍    | 2877/5338 [17:03<14:32,  2.82it/s, loss=-2.0114]
Train epoch 1:  54%|█████▍    | 2877/5338 [17:03<14:32,  2.82it/s, loss=-1.7652]
Train epoch 1:  54%|█████▍    | 2878/5338 [17:03<14:40,  2.79it/s, loss=-1.7652]
Train epoch 1:  54%|█████▍    | 2878/5338 [17:03<14:40,  2.79it/s, loss=-2.2647]
Train epoch 1:  54%|█████▍    | 2879/5338 [17:03<14:41,  2.79it/s, loss=-2.2647]
Train epoch 1:  54%|█████▍    | 2879/5338 [17:04<14:41,  2.79it/s, loss=-3.9669]
Train epoch 1:  54%|█████▍    | 2880/5338 [17:04<14:41,  2.79it/s, loss=-3.9669]
Train epoch 1:  54%|█████▍    | 2880/5338 [17:04<14:41,  2.79it/s, loss=-1.8267]
Train epoch 1:  54%|█████▍    | 2881/5338 [17:04<14:32,  2.82it/s, loss=-1.8267]
Train epoch 1:  54%|█████▍    | 2881/5338 [17:05<14:32,  2.82it/s, loss=-2.0705]
Train epoch 1:  54%|█████▍    | 2882/5338 [17:05<14:39,  2.79it/s, loss=-2.0705]
Train epoch 1:  54%|█████▍    | 2882/5338 [17:05<14:39,  2.79it/s, loss=-2.7186]
Train epoch 1:  54%|█████▍    | 2883/5338 [17:05<14:45,  2.77it/s, loss=-2.7186]
Train epoch 1:  54%|█████▍    | 2883/5338 [17:05<14:45,  2.77it/s, loss=-2.9994]
Train epoch 1:  54%|█████▍    | 2884/5338 [17:05<14:44,  2.78it/s, loss=-2.9994]
Train epoch 1:  54%|█████▍    | 2884/5338 [17:06<14:44,  2.78it/s, loss=-2.1033]
Train epoch 1:  54%|█████▍    | 2885/5338 [17:06<14:25,  2.83it/s, loss=-2.1033]
Train epoch 1:  54%|█████▍    | 2885/5338 [17:06<14:25,  2.83it/s, loss=-1.6608]
Train epoch 1:  54%|█████▍    | 2886/5338 [17:06<14:01,  2.91it/s, loss=-1.6608]
Train epoch 1:  54%|█████▍    | 2886/5338 [17:06<14:01,  2.91it/s, loss=-0.8230]
Train epoch 1:  54%|█████▍    | 2887/5338 [17:06<13:46,  2.96it/s, loss=-0.8230]
Train epoch 1:  54%|█████▍    | 2887/5338 [17:07<13:46,  2.96it/s, loss=-1.7710]
Train epoch 1:  54%|█████▍    | 2888/5338 [17:07<14:05,  2.90it/s, loss=-1.7710]
Train epoch 1:  54%|█████▍    | 2888/5338 [17:07<14:05,  2.90it/s, loss=-3.1978]
Train epoch 1:  54%|█████▍    | 2889/5338 [17:07<14:04,  2.90it/s, loss=-3.1978]
Train epoch 1:  54%|█████▍    | 2889/5338 [17:07<14:04,  2.90it/s, loss=-1.2674]
Train epoch 1:  54%|█████▍    | 2890/5338 [17:07<14:12,  2.87it/s, loss=-1.2674]
Train epoch 1:  54%|█████▍    | 2890/5338 [17:08<14:12,  2.87it/s, loss=-2.2751]
Train epoch 1:  54%|█████▍    | 2891/5338 [17:08<14:22,  2.84it/s, loss=-2.2751]
Train epoch 1:  54%|█████▍    | 2891/5338 [17:08<14:22,  2.84it/s, loss=-2.3844]
Train epoch 1:  54%|█████▍    | 2892/5338 [17:08<14:31,  2.81it/s, loss=-2.3844]
Train epoch 1:  54%|█████▍    | 2892/5338 [17:08<14:31,  2.81it/s, loss=-1.1037]
Train epoch 1:  54%|█████▍    | 2893/5338 [17:08<14:18,  2.85it/s, loss=-1.1037]
Train epoch 1:  54%|█████▍    | 2893/5338 [17:09<14:18,  2.85it/s, loss=-1.9645]
Train epoch 1:  54%|█████▍    | 2894/5338 [17:09<14:23,  2.83it/s, loss=-1.9645]
Train epoch 1:  54%|█████▍    | 2894/5338 [17:09<14:23,  2.83it/s, loss=-2.9080]
Train epoch 1:  54%|█████▍    | 2895/5338 [17:09<14:25,  2.82it/s, loss=-2.9080]
Train epoch 1:  54%|█████▍    | 2895/5338 [17:09<14:25,  2.82it/s, loss=-2.6252]
Train epoch 1:  54%|█████▍    | 2896/5338 [17:09<14:23,  2.83it/s, loss=-2.6252]
Train epoch 1:  54%|█████▍    | 2896/5338 [17:10<14:23,  2.83it/s, loss=-2.0017]
Train epoch 1:  54%|█████▍    | 2897/5338 [17:10<14:26,  2.82it/s, loss=-2.0017]
Train epoch 1:  54%|█████▍    | 2897/5338 [17:10<14:26,  2.82it/s, loss=-1.1534]
Train epoch 1:  54%|█████▍    | 2898/5338 [17:10<14:20,  2.84it/s, loss=-1.1534]
Train epoch 1:  54%|█████▍    | 2898/5338 [17:10<14:20,  2.84it/s, loss=-3.9689]
Train epoch 1:  54%|█████▍    | 2899/5338 [17:10<14:09,  2.87it/s, loss=-3.9689]
Train epoch 1:  54%|█████▍    | 2899/5338 [17:11<14:09,  2.87it/s, loss=-1.8995]
Train epoch 1:  54%|█████▍    | 2900/5338 [17:11<14:24,  2.82it/s, loss=-1.8995]
Train epoch 1:  54%|█████▍    | 2900/5338 [17:11<14:24,  2.82it/s, loss=-3.8108]
Train epoch 1:  54%|█████▍    | 2901/5338 [17:11<14:28,  2.81it/s, loss=-3.8108]
Train epoch 1:  54%|█████▍    | 2901/5338 [17:12<14:28,  2.81it/s, loss=-1.6329]
Train epoch 1:  54%|█████▍    | 2902/5338 [17:12<14:34,  2.79it/s, loss=-1.6329]
Train epoch 1:  54%|█████▍    | 2902/5338 [17:12<14:34,  2.79it/s, loss=-0.9911]
Train epoch 1:  54%|█████▍    | 2903/5338 [17:12<14:33,  2.79it/s, loss=-0.9911]
Train epoch 1:  54%|█████▍    | 2903/5338 [17:12<14:33,  2.79it/s, loss=-2.8385]
Train epoch 1:  54%|█████▍    | 2904/5338 [17:12<14:22,  2.82it/s, loss=-2.8385]
Train epoch 1:  54%|█████▍    | 2904/5338 [17:13<14:22,  2.82it/s, loss=-2.1183]
Train epoch 1:  54%|█████▍    | 2905/5338 [17:13<14:27,  2.80it/s, loss=-2.1183]
Train epoch 1:  54%|█████▍    | 2905/5338 [17:13<14:27,  2.80it/s, loss=-1.5004]
Train epoch 1:  54%|█████▍    | 2906/5338 [17:13<14:28,  2.80it/s, loss=-1.5004]
Train epoch 1:  54%|█████▍    | 2906/5338 [17:13<14:28,  2.80it/s, loss=-1.7852]
Train epoch 1:  54%|█████▍    | 2907/5338 [17:13<14:10,  2.86it/s, loss=-1.7852]
Train epoch 1:  54%|█████▍    | 2907/5338 [17:14<14:10,  2.86it/s, loss=-2.6725]
Train epoch 1:  54%|█████▍    | 2908/5338 [17:14<14:03,  2.88it/s, loss=-2.6725]
Train epoch 1:  54%|█████▍    | 2908/5338 [17:14<14:03,  2.88it/s, loss=-2.9385]
Train epoch 1:  54%|█████▍    | 2909/5338 [17:14<14:09,  2.86it/s, loss=-2.9385]
Train epoch 1:  54%|█████▍    | 2909/5338 [17:14<14:09,  2.86it/s, loss=-2.9874]
Train epoch 1:  55%|█████▍    | 2910/5338 [17:14<14:05,  2.87it/s, loss=-2.9874]
Train epoch 1:  55%|█████▍    | 2910/5338 [17:15<14:05,  2.87it/s, loss=-2.4029]
Train epoch 1:  55%|█████▍    | 2911/5338 [17:15<14:12,  2.85it/s, loss=-2.4029]
Train epoch 1:  55%|█████▍    | 2911/5338 [17:15<14:12,  2.85it/s, loss=-1.5074]
Train epoch 1:  55%|█████▍    | 2912/5338 [17:15<14:22,  2.81it/s, loss=-1.5074]
Train epoch 1:  55%|█████▍    | 2912/5338 [17:15<14:22,  2.81it/s, loss=-2.8293]
Train epoch 1:  55%|█████▍    | 2913/5338 [17:15<14:27,  2.80it/s, loss=-2.8293]
Train epoch 1:  55%|█████▍    | 2913/5338 [17:16<14:27,  2.80it/s, loss=-2.2925]
Train epoch 1:  55%|█████▍    | 2914/5338 [17:16<14:23,  2.81it/s, loss=-2.2925]
Train epoch 1:  55%|█████▍    | 2914/5338 [17:16<14:23,  2.81it/s, loss=-1.9298]
Train epoch 1:  55%|█████▍    | 2915/5338 [17:16<14:24,  2.80it/s, loss=-1.9298]
Train epoch 1:  55%|█████▍    | 2915/5338 [17:16<14:24,  2.80it/s, loss=-2.4806]
Train epoch 1:  55%|█████▍    | 2916/5338 [17:16<14:03,  2.87it/s, loss=-2.4806]
Train epoch 1:  55%|█████▍    | 2916/5338 [17:17<14:03,  2.87it/s, loss=-2.4508]
Train epoch 1:  55%|█████▍    | 2917/5338 [17:17<14:12,  2.84it/s, loss=-2.4508]
Train epoch 1:  55%|█████▍    | 2917/5338 [17:17<14:12,  2.84it/s, loss=-1.7345]
Train epoch 1:  55%|█████▍    | 2918/5338 [17:17<13:57,  2.89it/s, loss=-1.7345]
Train epoch 1:  55%|█████▍    | 2918/5338 [17:18<13:57,  2.89it/s, loss=-1.3138]
Train epoch 1:  55%|█████▍    | 2919/5338 [17:18<14:01,  2.87it/s, loss=-1.3138]
Train epoch 1:  55%|█████▍    | 2919/5338 [17:18<14:01,  2.87it/s, loss=-2.1347]
Train epoch 1:  55%|█████▍    | 2920/5338 [17:18<14:12,  2.84it/s, loss=-2.1347]
Train epoch 1:  55%|█████▍    | 2920/5338 [17:18<14:12,  2.84it/s, loss=-1.1339]
Train epoch 1:  55%|█████▍    | 2921/5338 [17:18<14:21,  2.80it/s, loss=-1.1339]
Train epoch 1:  55%|█████▍    | 2921/5338 [17:19<14:21,  2.80it/s, loss=-1.0342]
Train epoch 1:  55%|█████▍    | 2922/5338 [17:19<14:11,  2.84it/s, loss=-1.0342]
