nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:   1%|▏         | 69/5338 [00:32<30:48,  2.85it/s, loss=-1.0376]
Train epoch 1:   1%|▏         | 69/5338 [00:32<30:48,  2.85it/s, loss=-0.9561]
Train epoch 1:   1%|▏         | 70/5338 [00:32<30:58,  2.83it/s, loss=-0.9561]
Train epoch 1:   1%|▏         | 70/5338 [00:32<30:58,  2.83it/s, loss=-0.8934]
Train epoch 1:   1%|▏         | 71/5338 [00:32<31:08,  2.82it/s, loss=-0.8934]
Train epoch 1:   1%|▏         | 71/5338 [00:33<31:08,  2.82it/s, loss=-0.7631]
Train epoch 1:   1%|▏         | 72/5338 [00:33<31:09,  2.82it/s, loss=-0.7631]
Train epoch 1:   1%|▏         | 72/5338 [00:33<31:09,  2.82it/s, loss=-1.5397]
Train epoch 1:   1%|▏         | 73/5338 [00:33<31:05,  2.82it/s, loss=-1.5397]
Train epoch 1:   1%|▏         | 73/5338 [00:33<31:05,  2.82it/s, loss=-0.7581]
Train epoch 1:   1%|▏         | 74/5338 [00:33<30:59,  2.83it/s, loss=-0.7581]
Train epoch 1:   1%|▏         | 74/5338 [00:34<30:59,  2.83it/s, loss=-0.7348]
Train epoch 1:   1%|▏         | 75/5338 [00:34<31:08,  2.82it/s, loss=-0.7348]
Train epoch 1:   1%|▏         | 75/5338 [00:34<31:08,  2.82it/s, loss=-1.1917]
Train epoch 1:   1%|▏         | 76/5338 [00:34<31:08,  2.82it/s, loss=-1.1917]
Train epoch 1:   1%|▏         | 76/5338 [00:34<31:08,  2.82it/s, loss=-1.7216]
Train epoch 1:   1%|▏         | 77/5338 [00:34<31:11,  2.81it/s, loss=-1.7216]
Train epoch 1:   1%|▏         | 77/5338 [00:35<31:11,  2.81it/s, loss=-1.0038]
Train epoch 1:   1%|▏         | 78/5338 [00:35<31:02,  2.82it/s, loss=-1.0038]
Train epoch 1:   1%|▏         | 78/5338 [00:35<31:02,  2.82it/s, loss=-1.8105]
Train epoch 1:   1%|▏         | 79/5338 [00:35<31:07,  2.82it/s, loss=-1.8105]
Train epoch 1:   1%|▏         | 79/5338 [00:35<31:07,  2.82it/s, loss=-2.3228]
Train epoch 1:   1%|▏         | 80/5338 [00:35<31:03,  2.82it/s, loss=-2.3228]
Train epoch 1:   1%|▏         | 80/5338 [00:36<31:03,  2.82it/s, loss=-0.2071]
Train epoch 1:   2%|▏         | 81/5338 [00:36<31:10,  2.81it/s, loss=-0.2071]
Train epoch 1:   2%|▏         | 81/5338 [00:36<31:10,  2.81it/s, loss=-0.7381]
Train epoch 1:   2%|▏         | 82/5338 [00:36<31:13,  2.81it/s, loss=-0.7381]
Train epoch 1:   2%|▏         | 82/5338 [00:37<31:13,  2.81it/s, loss=-1.3227]
Train epoch 1:   2%|▏         | 83/5338 [00:37<30:39,  2.86it/s, loss=-1.3227]
Train epoch 1:   2%|▏         | 83/5338 [00:37<30:39,  2.86it/s, loss=-0.9130]
Train epoch 1:   2%|▏         | 84/5338 [00:37<30:44,  2.85it/s, loss=-0.9130]
Train epoch 1:   2%|▏         | 84/5338 [00:37<30:44,  2.85it/s, loss=-1.5103]
Train epoch 1:   2%|▏         | 85/5338 [00:37<30:53,  2.83it/s, loss=-1.5103]
Train epoch 1:   2%|▏         | 85/5338 [00:38<30:53,  2.83it/s, loss=-1.4266]
Train epoch 1:   2%|▏         | 86/5338 [00:38<31:02,  2.82it/s, loss=-1.4266]
